idustry,ans,rate
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.16
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedAccreditedFinanceAgreements,0.09
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedBusinessRatesHoliday,0.446
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedCoronavirusJobRetentionScheme,0.726
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedDeferringVATPayments,0.601
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.133
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedHMRCTimeToPayScheme,0.25
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedWeHaveNotAppliedForAnyOfTheseInitiatives,0.155
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedAccreditedFinanceAgreements,0.015
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedBusinessRatesHoliday,0.334
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedCoronavirusJobRetentionScheme,0.239
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedDeferringVATPayments,0.469
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.091
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedHMRCTimeToPayScheme,0.183
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyAccreditedFinanceAgreements,0.083
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyBusinessRatesHoliday,0.093
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyCoronavirusJobRetentionScheme,0.321
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyDeferringVATPayments,0.158
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.042
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyHMRCTimeToPayScheme,0.076
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyNoneOfTheAbove,0.538
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedWehaven'tReceivedAnyThatWeAppliedFor,0.129
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedAccreditedFinanceAgreements,0.206
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedBusinessRatesHoliday,0.782
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedCoronavirusJobRetentionScheme,0.871
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedDeferringVATPayments,0.806
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.249
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedHMRCTimeToPayScheme,0.422
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasAppliedWeHaveNotAppliedForAnyOfTheseInitiatives,0.027
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedAccreditedFinanceAgreements,0.035
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedBusinessRatesHoliday,0.633
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedCoronavirusJobRetentionScheme,0.251
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedDeferringVATPayments,0.596
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedGovernment-fundedSmallBusinessGrantOrLoanSchemes,0.178
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#hasReceivedHMRCTimeToPayScheme,0.306
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyAccreditedFinanceAgreements,0.122
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyBusinessRatesHoliday,0.18
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyCoronavirusJobRetentionScheme,0.404
http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/yijiang/ontologies/2022/2/OpenData-CW-1-Yijiang#intendingToApplyDeferringVATPayments,0.235
